signal_key_id,geo_key_id,time_type,time_value,issue,value,stderr,sample_size,lag,value_updated_timestamp,computation_as_of_dt,missing_value,missing_stderr,missing_sample_size
50,1228,day,20200531,20200621,0.0,,,21,1592665066,,0,5,5
13,1973,day,20200626,20200701,7.3383421,2.5080232,108.1023,5,1593519420,,0,0,0
1,419,day,20201012,20201120,1.90309,,,39,1613245681,,0,5,5
74,768,day,20200813,20201014,0.346939931976644,,,62,1602729790,,0,5,5
29,2113,day,20201013,20201106,1.8571428571429,,,24,1604729334,,0,5,5
68,101,day,20200621,20200810,281.46224359461866,,,50,1597073476,,0,5,5
1,1660,day,20210312,20210405,1.716306,,,24,1617663653,,0,5,5
16,1774,day,20210423,20210426,16.6871034,2.5666587,211.0362,3,1619445152,,0,0,0
50,1015,day,20200513,20200721,0.0,,,69,1595345770,,0,5,5
71,5024,day,20200504,20200725,0.0,,,82,1595689903,,0,5,5
672,412,day,20210918,20210919,35.6754559,4.6096429,107.997,1,1632058320,,0,0,0
172,4678,day,20200303,20201206,0.153045,,,278,1607310605,,0,5,5
65,1049,day,20200420,20200712,84.44221739695266,,,83,1594479919,,0,5,5
71,1261,day,20200503,20200727,0.0,,,85,1595862765,,0,5,5
68,1181,day,20200428,20200727,722.3807759588204,,,90,1595862693,,0,5,5
51,732,day,20200522,20200722,6.0,,,61,1595431457,,0,5,5
51,1921,day,20200423,20200809,0.0,,,108,1596986063,,0,5,5
44,2180,day,20210529,20210601,0.0,,,3,1622552397,,0,5,5
49,1834,day,20200622,20200628,0.0,,,6,1593332203,,0,5,5
71,4581,day,20200610,20200627,0.0,,,17,1593245893,,0,5,5
4,2643,day,20200629,20200807,0.841009,0.8478857773249582,,39,1596841216,,0,0,5
67,2252,day,20200408,20200812,0.0,,,126,1597245088,,0,5,5
68,629,day,20200811,20200828,2231.585771007212,,,17,1598628320,,0,5,5
69,2319,day,20200714,20200725,178.14285714285714,,,11,1595690893,,0,5,5
51,2580,day,20200609,20200825,2.6731073934605014,,,77,1598372535,,0,5,5
154,1338,day,20201210,20210217,5.31416,,,69,1613606908,,0,5,5
30,4723,day,20200820,20201109,7.8149421694279,,,81,1604989562,,0,5,5
66,4767,day,20200705,20200711,0.0,,,6,1594394874,,0,5,5
65,1672,day,20200415,20200722,24.733343638893185,,,98,1595430730,,0,5,5
49,2974,day,20200520,20200704,0.0,,,45,1593789417,,0,5,5
49,2425,day,20200704,20200715,76.7776472261328,,,11,1594740849,,0,5,5
28,873,day,20200930,20201103,3079.6052546931,,,34,1604469405,,0,5,5
50,4703,day,20200603,20200715,0.0,,,42,1594740228,,0,5,5
87,1159,day,20190815,20200620,624.0,29.528487583135178,20.0,310,1592605430,,0,0,0
68,4760,day,20200306,20200812,0.0,,,159,1597244581,,0,5,5
65,1053,day,20200505,20200705,134.1481591891489,,,61,1593875093,,0,5,5
172,1713,day,20200707,20210101,0.125509,,,178,1609481263,,0,5,5
177,1122,day,20201208,20210121,677.4805194805194,23.055822554255542,77.0,44,1611258528,,0,0,0
71,4581,day,20200610,20200715,0.0,,,35,1594740102,,0,5,5
73,440,day,20200506,20200712,0.14285714285714285,,,67,1594480571,,0,5,5
37,4653,day,20210526,20210531,8.7726994,,,5,1622519053,,0,5,5
69,1848,day,20210404,20210405,0.7142857,,,1,1617634373,,0,5,5
26,1198,day,20200909,20200922,0.6541245667911754,0.05628198281802951,,13,1600779782,,0,0,5
70,1079,day,20200527,20200807,0.6511561277047397,,,72,1596813680,,0,5,5
173,1153,day,20200916,20201005,0.108659,,,19,1621989360,,0,5,5
70,4914,day,20200423,20200623,0.0,,,61,1592664193,,0,5,5
173,990,day,20200313,20210220,0.036482,,,344,1613877158,,0,5,5
49,3088,day,20200525,20200704,0.0,,,40,1593789422,,0,5,5
50,1738,day,20200519,20200625,0.0,,,37,1593073004,,0,5,5
69,1424,day,20200320,20200707,0.0,,,109,1594047243,,0,5,5
173,2685,day,20210910,20210918,0.4368314,,,8,1632021904,,0,5,5
68,1961,day,20200621,20200718,2688.5998669397445,,,27,1595085284,,0,5,5
68,1060,day,20200816,20200817,537.5381843222074,,,1,1597676432,,0,5,5
69,1176,day,20200622,20200724,0.14285714285714285,,,32,1595604113,,0,5,5
69,2143,day,20200720,20200726,11.285714285714286,,,6,1595777379,,0,5,5
2,1966,day,20200620,20200810,2.937954,,,51,1597100398,,0,5,5
46,1165,day,20200325,20200720,1.0,,,117,1595257224,,0,5,5
73,1851,day,20200601,20200717,0.14285714285714285,,,46,1594999565,,0,5,5
41,99,day,20200528,20201029,0.0,,,154,1604030305,,0,5,5
66,549,day,20200618,20200814,24.27174964081725,,,57,1597418037,,0,5,5
652,888,day,20210819,20210907,27.1062358,4.033723,121.436,19,1631034706,,0,0,0
65,723,day,20200418,20200806,14.704260559497115,,,110,1596734552,,0,5,5
69,654,day,20200602,20200721,3.0,,,49,1595343600,,0,5,5
70,2508,day,20200312,20200720,0.007047950345881393,,,130,1595258447,,0,5,5
67,599,day,20200706,20200718,309.2857142857143,,,12,1595084665,,0,5,5
40,1088,day,20210921,20210924,0.0,,,3,1632499873,,0,5,5
48,858,day,20200524,20200806,0.0,,,74,1596735107,,0,5,5
48,2146,day,20200616,20200731,0.0,,,45,1596209170,,0,5,5
192,880,day,20191212,20201130,339.312530504244,,,354,1606760132,,0,5,5
74,208,day,20200405,20200721,0.0,,,107,1595345894,,0,5,5
51,1921,day,20200423,20200727,0.0,,,95,1595862630,,0,5,5
476,1800,day,20210712,20210715,56.5583486,1.33763,1373.1914,3,1626354380,,0,0,0
50,1228,day,20200531,20200626,0.0,,,26,1593159591,,0,5,5
37,1387,day,20200615,20201029,19.853415614711,,,136,1604030772,,0,5,5
69,367,day,20200610,20200611,0.7142857142857143,,,1,1620241523,,0,5,5
4,201,day,20201223,20210107,17.114048,1.570662628649618,,15,1610080633,,0,0,5
65,519,day,20200512,20200704,1039.2205845615788,,,53,1593788686,,0,5,5
227,1023,day,20200509,20210119,0.215636,,,255,1611115803,,0,5,5
172,2448,day,20210302,20210325,1.006848,,,23,1616728104,,0,5,5
69,684,day,20200527,20200729,16.142857142857142,,,63,1596036104,,0,5,5
69,1019,day,20200423,20200628,-2.142857142857143,,,66,1593330874,,0,5,5
71,562,day,20200620,20200712,1777.857142857143,,,22,1594480864,,0,5,5
43,1331,day,20201101,20201111,118.64406779661,,,10,1605086925,,0,5,5
68,2414,day,20200721,20200809,524.5726642656264,,,19,1596987488,,0,5,5
70,145,day,20200508,20200728,0.0,,,81,1595949300,,0,5,5
48,2550,day,20200708,20200726,25.838992379808346,,,18,1595777238,,0,5,5
49,3088,day,20200525,20200721,0.0,,,57,1595345449,,0,5,5
51,491,day,20200529,20200709,0.0,,,41,1594221237,,0,5,5
71,2979,day,20200603,20200714,0.0,,,41,1594653659,,0,5,5
69,1397,day,20200424,20200811,3.2857142857142856,,,109,1597158927,,0,5,5
173,1630,day,20200321,20210126,0.025214,,,311,1611718710,,0,5,5
227,2859,day,20200225,20200430,0.227273,,,65,1627000335,,0,5,5
48,2776,day,20201008,20201009,1819.0,,,1,1602255550,,0,5,5
73,2481,day,20200704,20200709,0.0,,,5,1594222314,,0,5,5
46,1165,day,20200325,20200729,1.0,,,126,1596035174,,0,5,5
65,2289,day,20200623,20200809,153.94703081791488,,,47,1596987044,,0,5,5
68,1604,day,20200427,20200806,98.42675859114365,,,101,1596734698,,0,5,5
73,1483,day,20210102,20210103,16.142857142857142,,,1,1609729498,,0,5,5
228,1443,day,20200719,20201208,2.300103,,,142,1607484312,,0,5,5
70,2321,day,20200418,20200705,2.6540909319491086,,,78,1593875370,,0,5,5
48,2146,day,20200616,20200802,0.0,,,47,1596381948,,0,5,5
51,1123,day,20200410,20200711,0.0,,,92,1594394032,,0,5,5
90,339,day,20201019,20201116,0.06715489642444443,0.0020721209035569083,389.0,28,1605553635,,0,0,0
69,1281,day,20200524,20200712,24.714285714285715,,,49,1594479315,,0,5,5
50,2833,day,20200511,20200514,0.0,,,3,1589390231,,0,5,5
70,221,day,20200525,20200706,2.653857381704308,,,42,1593961395,,0,5,5
74,208,day,20200405,20200802,0.0,,,119,1596380902,,0,5,5
47,5271,day,20200821,20201030,14.687522949254609,,,70,1604113454,,0,5,5
49,3186,day,20200613,20200727,0.0,,,44,1595863331,,0,5,5
68,2834,day,20200315,20200706,0.0,,,113,1593961581,,0,5,5
173,990,day,20200313,20210207,0.036504,,,331,1613176099,,0,5,5
70,2450,day,20200514,20200706,2.518097752986027,,,53,1593961909,,0,5,5
69,1521,day,20200902,20201030,38.42857142857143,,,58,1604113635,,0,5,5
10,989,day,20210717,20210718,0.7585467,0.5530353,154.8426,1,1626618310,,0,0,0
49,3107,day,20200610,20200703,0.0,,,23,1593703050,,0,5,5
51,674,day,20200622,20200714,0.0,,,22,1594653295,,0,5,5
172,2448,day,20210302,20210419,0.963462,,,48,1618888000,,0,5,5
68,3176,day,20200517,20200730,236.21873413250327,,,74,1596122357,,0,5,5
46,563,day,20200622,20200825,9010.0,,,64,1598373113,,0,5,5
50,355,day,20200605,20200810,0.0,,,66,1597073210,,0,5,5
66,1577,day,20200605,20200709,7.46089248853924,,,34,1594222268,,0,5,5
46,1945,day,20200612,20200804,6.0,,,53,1596554700,,0,5,5
70,145,day,20200508,20200702,0.0,,,55,1593616161,,0,5,5
69,4996,day,20200708,20200810,0.0,,,33,1597073742,,0,5,5
173,512,day,20200223,20210130,0.228528,,,342,1612063634,,0,5,5
70,2066,day,20200412,20200802,15.615330784757123,,,112,1596380994,,0,5,5
37,1387,day,20200615,20201111,19.853415614711,,,149,1605080066,,0,5,5
70,2351,day,20200518,20200828,0.7119021493475588,,,102,1598627544,,0,5,5
50,2997,day,20200609,20200727,0.0,,,48,1595863279,,0,5,5
66,2450,day,20200417,20200804,0.898076269393616,,,109,1596553884,,0,5,5
51,4864,day,20200523,20200807,0.0,,,76,1596813627,,0,5,5
172,1713,day,20200707,20210102,0.125515,,,179,1609568417,,0,5,5
51,1986,day,20200619,20200708,0.0,,,19,1594134861,,0,5,5
70,809,day,20200412,20200812,2.2742673967964437,,,122,1597245153,,0,5,5
48,1854,day,20200226,20200628,0.0,,,123,1593330708,,0,5,5
69,4997,day,20200615,20200716,0.5714285714285714,,,31,1594911362,,0,5,5
46,1945,day,20200612,20200725,6.0,,,43,1595690434,,0,5,5
66,1393,day,20200623,20200726,3.0616150019135095,,,33,1595777023,,0,5,5
73,440,day,20200506,20200714,0.14285714285714285,,,69,1594653380,,0,5,5
72,1857,day,20200622,20200806,0.0,,,45,1596735562,,0,5,5
65,1053,day,20200505,20200804,134.1481591891489,,,91,1596554136,,0,5,5
70,221,day,20200525,20200716,2.653857381704308,,,52,1594911889,,0,5,5
42,136,day,20200911,20201111,92.0,,,61,1605084501,,0,5,5
51,382,day,20200317,20200730,0.0,,,135,1596121453,,0,5,5
68,3176,day,20200517,20200813,236.21873413250327,,,88,1597332064,,0,5,5
73,636,day,20201221,20201222,1.4285714285714286,,,1,1608694277,,0,5,5
178,2103,day,20210106,20210208,0.0917317898620696,0.00548287172167261,98.0,33,1613094367,,0,0,0
48,2518,day,20200723,20200802,114.7713102688523,,,10,1596382462,,0,5,5
68,1873,day,20200620,20200621,495.8139479135662,,,1,1620241681,,0,5,5
72,1857,day,20200622,20200728,0.0,,,36,1595949934,,0,5,5
67,829,day,20200625,20200717,131.14285714285714,,,22,1594998316,,0,5,5
69,1176,day,20200622,20200715,0.14285714285714285,,,23,1594738539,,0,5,5
51,491,day,20200529,20200629,0.0,,,31,1593418352,,0,5,5
51,2580,day,20200609,20200711,2.6731073934605014,,,32,1594395158,,0,5,5
227,145,day,20200326,20200414,0.141607,,,19,1627163814,,0,5,5
227,617,day,20201108,20210202,0.483255,,,86,1620154636,,0,5,5
74,1656,day,20200521,20200710,0.0,,,50,1594307097,,0,5,5
71,1095,day,20200420,20200810,4.571428571428571,,,112,1597072461,,0,5,5
71,4698,day,20200331,20200710,0.0,,,101,1594306809,,0,5,5
74,1766,day,20200803,20200805,0.1119150842060285,,,2,1596641884,,0,5,5
70,739,day,20200506,20200713,16.5374878096827,,,68,1594566220,,0,5,5
69,3148,day,20200407,20200804,0.0,,,119,1596553730,,0,5,5
28,848,day,20200419,20201111,361.63780815274,,,206,1605077572,,0,5,5
66,308,day,20200430,20200716,1.695540305112478,,,77,1594913352,,0,5,5
68,4916,day,20200619,20200703,92.63279779997106,,,14,1593702456,,0,5,5
154,1338,day,20201210,20201227,5.994075,,,17,1609114232,,0,5,5
73,440,day,20200506,20200507,0.14285714285714285,,,1,1620241204,,0,5,5
70,2912,day,20200405,20200720,0.9546721655783404,,,106,1595257722,,0,5,5
173,1153,day,20200916,20201022,0.082372,,,36,1621711964,,0,5,5
65,2421,day,20210426,20210427,11795.2171288,,,1,1619535126,,0,5,5
66,1513,day,20200407,20200720,0.20017996178564532,,,104,1595259965,,0,5,5
70,4694,day,20200330,20200717,0.0,,,109,1594998559,,0,5,5
48,624,day,20200506,20200810,1.0,,,96,1597072709,,0,5,5
228,2593,day,20200508,20200512,0.375305,,,4,1626833145,,0,5,5
47,2068,day,20200619,20200627,0.0,,,8,1593244855,,0,5,5
70,582,day,20200420,20201014,18.627401421970582,,,177,1602723934,,0,5,5
51,2203,day,20200703,20200723,0.0,,,20,1595517892,,0,5,5
66,1496,day,20200523,20200729,15.914479686826482,,,67,1596036057,,0,5,5
228,3133,day,20200301,20200401,0.099206,,,31,1627328159,,0,5,5
70,198,day,20200525,20200725,1.474835896144325,,,61,1595690185,,0,5,5
67,829,day,20200625,20201015,131.14285714285714,,,112,1602822659,,0,5,5
74,2587,day,20200707,20201014,0.1948558077823472,,,99,1602728845,,0,5,5
70,1197,day,20200418,20200731,2.123164789435132,,,104,1596208285,,0,5,5
51,674,day,20200622,20200726,0.0,,,34,1595777011,,0,5,5
65,45,day,20200623,20200730,324.09180636987713,,,37,1596122930,,0,5,5
71,1095,day,20200420,20200718,4.571428571428571,,,89,1595086170,,0,5,5
13,1267,day,20210708,20210712,5.6603897,0.5340693,1872.1696,4,1626099788,,0,0,0
70,2173,day,20200422,20200623,3.772303745897619,,,62,1592664170,,0,5,5
227,2859,day,20200225,20200403,0.231481,,,38,1627334386,,0,5,5
48,2565,day,20200622,20200722,129.82110657275487,,,30,1595431229,,0,5,5
46,1918,day,20200512,20200711,38.0,,,60,1594393039,,0,5,5
51,1986,day,20200619,20200628,0.0,,,9,1593331974,,0,5,5
66,2874,day,20200415,20200731,0.0,,,107,1596208251,,0,5,5
74,2989,day,20200516,20200714,0.0,,,59,1594653899,,0,5,5
51,491,day,20200529,20200810,0.0,,,73,1597073099,,0,5,5
160,1449,day,20201106,20201110,90.8060084,2.0451766,199.5984,4,1605027224,,0,0,0
71,2869,day,20200503,20200628,0.0,,,56,1593332274,,0,5,5
68,1181,day,20200428,20200709,722.3807759588204,,,72,1594220835,,0,5,5
69,1268,day,20200608,20200725,0.14285714285714285,,,47,1595690378,,0,5,5
227,2028,day,20210122,20210216,1.621877,,,25,1620079740,,0,5,5
69,684,day,20200527,20200725,16.142857142857142,,,59,1595690211,,0,5,5
42,618,day,20200412,20201104,2.0,,,206,1604549395,,0,5,5
172,3053,day,20200321,20200612,0.105708,,,83,1624906886,,0,5,5
68,2890,day,20200522,20200702,121.39338494018295,,,41,1593616021,,0,5,5
172,3053,day,20200321,20210220,0.2046,,,336,1613877236,,0,5,5
172,1258,day,20200408,20210120,0.302706,,,287,1611201137,,0,5,5
65,756,day,20200519,20200704,162.25158539947827,,,46,1593788692,,0,5,5
172,4678,day,20200303,20200420,0.091241,,,48,1627071973,,0,5,5
228,2729,day,20200219,20210206,0.518408,,,353,1613172111,,0,5,5
74,366,day,20200422,20200719,0.3527023347483751,,,88,1595172940,,0,5,5
65,1565,day,20200725,20200804,328.6812852975517,,,10,1596555315,,0,5,5
65,790,day,20200611,20200813,519.7622034758149,,,63,1597332491,,0,5,5
68,1604,day,20200427,20200705,98.42675859114365,,,69,1593875402,,0,5,5
74,1593,day,20200618,20201030,0.26817164594370274,,,134,1604111470,,0,5,5
69,3199,day,20200511,20200804,0.5714285714285714,,,85,1596554222,,0,5,5
35,1781,day,20200625,20201022,1359.1680305787,,,119,1603423078,,0,5,5
68,2383,day,20200701,20200720,708.3465735859793,,,19,1595258492,,0,5,5
69,3187,day,20200313,20200623,0.0,,,102,1592670532,,0,5,5
71,2243,day,20200505,20200726,2.0,,,82,1595776349,,0,5,5
69,1397,day,20200424,20200812,3.2857142857142856,,,110,1597245348,,0,5,5
69,4997,day,20200615,20200726,0.5714285714285714,,,41,1595776909,,0,5,5
177,1122,day,20201208,20210102,677.4805194805194,23.055822554255542,77.0,25,1609638069,,0,0,0
70,1197,day,20200418,20200705,2.123164789435132,,,78,1593874956,,0,5,5
68,1181,day,20200428,20200802,722.3807759588204,,,96,1596381221,,0,5,5
49,2425,day,20200704,20200706,76.7776472261328,,,2,1593963107,,0,5,5
74,2710,day,20200412,20200725,0.0,,,104,1595689590,,0,5,5
49,1981,day,20200708,20200723,17.0,,,15,1595518237,,0,5,5
70,2912,day,20200405,20200712,0.9546721655783404,,,98,1594479778,,0,5,5
191,1379,day,20210310,20210409,22.9532117,,,30,1617995330,,0,5,5
48,588,day,20200530,20200805,1.0,,,67,1596640961,,0,5,5
